,Flight_id,Start_location,End_location,Start_date,End_date,Start_time,End_time,Duration,Price,Origin_airport,Destinantion_airport,Number_of_grounds,Is_return
29,896835f8-eb26-473e-afdd-5455d677fb11,katowice-polska,londyn-wielka-brytania,2024-03-01,2024-03-03,08:40,11:50,2h 10m,232 zł,STN,KTW,0,True
30,ea24fbed-d6f7-4662-99e2-0e3365755f3d,katowice-polska,londyn-wielka-brytania,2024-03-08,2024-03-10,19:30,21:05,2h 35m,235 zł,KTW,LTN,0,False
31,ea24fbed-d6f7-4662-99e2-0e3365755f3d,katowice-polska,londyn-wielka-brytania,2024-03-08,2024-03-10,08:40,11:50,2h 10m,235 zł,STN,KTW,0,True
32,e4119dda-e610-4bee-b4e1-1a867680dd0b,katowice-polska,londyn-wielka-brytania,2024-03-08,2024-03-10,21:30,23:00,2h 30m,234 zł,KTW,STN,0,False
33,e4119dda-e610-4bee-b4e1-1a867680dd0b,katowice-polska,londyn-wielka-brytania,2024-03-08,2024-03-10,08:25,11:45,2h 20m,234 zł,LTN,KTW,0,True
34,41ecbaa7-f122-47d3-985e-34f30d2155e2,katowice-polska,londyn-wielka-brytania,2024-03-08,2024-03-10,06:00,07:40,2h 40m,255 zł,KTW,LTN,0,False
35,41ecbaa7-f122-47d3-985e-34f30d2155e2,katowice-polska,londyn-wielka-brytania,2024-03-08,2024-03-10,08:40,11:50,2h 10m,255 zł,STN,KTW,0,True
36,65e369e9-cced-4766-93a1-85e1d9387552,katowice-polska,londyn-wielka-brytania,2024-03-15,2024-03-17,21:30,23:00,2h 30m,223 zł,KTW,STN,0,False
37,65e369e9-cced-4766-93a1-85e1d9387552,katowice-polska,londyn-wielka-brytania,2024-03-15,2024-03-17,08:25,11:45,2h 20m,223 zł,LTN,KTW,0,True
38,b17778ab-08d7-460b-b0a1-211f144b0c12,katowice-polska,londyn-wielka-brytania,2024-03-15,2024-03-17,06:00,07:40,2h 40m,249 zł,KTW,LTN,0,False
39,b17778ab-08d7-460b-b0a1-211f144b0c12,katowice-polska,londyn-wielka-brytania,2024-03-15,2024-03-17,08:40,11:50,2h 10m,249 zł,STN,KTW,0,True
40,dc49ab4d-0c6f-4bbe-bd8e-4fcf2fe874a5,katowice-polska,londyn-wielka-brytania,2024-03-15,2024-03-17,12:00,13:35,2h 35m,266 zł,KTW,STN,0,False
41,dc49ab4d-0c6f-4bbe-bd8e-4fcf2fe874a5,katowice-polska,londyn-wielka-brytania,2024-03-15,2024-03-17,08:25,11:45,2h 20m,266 zł,LTN,KTW,0,True
42,8e4d9636-8808-47bb-8988-8d305a1399a3,katowice-polska,londyn-wielka-brytania,2024-03-22,2024-03-24,06:00,07:40,2h 40m,266 zł,KTW,LTN,0,False
43,8e4d9636-8808-47bb-8988-8d305a1399a3,katowice-polska,londyn-wielka-brytania,2024-03-22,2024-03-24,08:40,11:50,2h 10m,266 zł,STN,KTW,0,True
44,e71a08e8-2717-4d47-8f57-114c0c408df9,katowice-polska,londyn-wielka-brytania,2024-03-22,2024-03-24,19:30,21:05,2h 35m,296 zł,KTW,LTN,0,False
45,e71a08e8-2717-4d47-8f57-114c0c408df9,katowice-polska,londyn-wielka-brytania,2024-03-22,2024-03-24,08:40,11:50,2h 10m,296 zł,STN,KTW,0,True
46,8fd168d6-454d-42e5-8ce9-6787010cd250,katowice-polska,londyn-wielka-brytania,2024-03-22,2024-03-24,06:00,07:40,2h 40m,322 zł,KTW,LTN,0,False
47,8fd168d6-454d-42e5-8ce9-6787010cd250,katowice-polska,londyn-wielka-brytania,2024-03-22,2024-03-24,08:25,11:45,2h 20m,322 zł,LTN,KTW,0,True
48,1adfb6a6-e112-4670-a902-46a504c0ad22,katowice-polska,londyn-wielka-brytania,2024-03-29,2024-03-31,21:30,23:00,2h 30m,364 zł,KTW,STN,0,False
49,1adfb6a6-e112-4670-a902-46a504c0ad22,katowice-polska,londyn-wielka-brytania,2024-03-29,2024-03-31,21:55,01:15,2h 20m,364 zł,LTN,KTW,0,True
50,9b2796c9-9ab9-4a87-8707-6978aed55e1a,katowice-polska,londyn-wielka-brytania,2024-03-29,2024-03-31,19:30,21:05,2h 35m,402 zł,KTW,LTN,0,False
51,9b2796c9-9ab9-4a87-8707-6978aed55e1a,katowice-polska,londyn-wielka-brytania,2024-03-29,2024-03-31,21:55,01:15,2h 20m,402 zł,LTN,KTW,0,True
52,fc0e675d-bdc1-4a76-8ee3-7b16c974e193,katowice-polska,londyn-wielka-brytania,2024-03-29,2024-03-31,21:30,23:00,2h 30m,477 zł,KTW,STN,0,False
53,fc0e675d-bdc1-4a76-8ee3-7b16c974e193,katowice-polska,londyn-wielka-brytania,2024-03-29,2024-03-31,08:20,11:40,2h 20m,477 zł,LTN,KTW,0,True
54,c7d7f2ca-6b28-4413-844c-fcf693b10677,katowice-polska,londyn-wielka-brytania,2024-04-05,2024-04-07,06:05,07:35,2h 30m,332 zł,KTW,LTN,0,False
